State,Year,Population,Median Age,Median Year Moved In,Median Home Value,Total Housing with Mortgage,Total Housing without Mortgage,Median Monthly Costs with Mortgage,Median Monthly Costs without Mortgage,Household Income,Per Capita Income,Median Household Income with Mortgage,Median Household Income without Mortgage,Poverty Count,Poverty Rate
Illinois,2021,12821813.0,38.5,2006,212600.0,2051911.0,1227411.0,1781.0,681.0,72563.0,39571.0,105528.0,66864.0,1483378.0,11.569175123674007
Michigan,2021,10062512.0,39.8,2006,172100.0,1710024.0,1160669.0,1374.0,520.0,63202.0,34768.0,91004.0,55898.0,1310058.0,13.019194411892379
Wisconsin,2021,5871661.0,39.6,2005,200400.0,1019357.0,600347.0,1491.0,578.0,67080.0,36754.0,95893.0,62828.0,610632.0,10.399646709849224
Minnesota,2021,5670472.0,38.2,2007,250200.0,1056453.0,554348.0,1682.0,581.0,77706.0,41204.0,107302.0,68846.0,512312.0,9.034732911122742
Iowa,2021,3179090.0,38.3,2007,160700.0,551824.0,361145.0,1348.0,524.0,65429.0,34817.0,92540.0,60135.0,339695.0,10.685290444749914
Mississippi,2021,2967023.0,37.8,2005,133000.0,381330.0,382785.0,1218.0,371.0,49111.0,26807.0,79124.0,44727.0,557111.0,18.77676715010298
North Dakota,2021,773344.0,35.2,2008,209900.0,105467.0,93858.0,1524.0,506.0,68131.0,37343.0,103797.0,69378.0,80390.0,10.395115239789796
South Dakota,2021,881785.0,37.1,2008,187800.0,129892.0,106785.0,1434.0,521.0,63920.0,33468.0,91930.0,62021.0,106291.0,12.054072137766008
Nebraska,2021,1951480.0,36.7,2007,174100.0,304925.0,207068.0,1483.0,568.0,66644.0,35189.0,98099.0,63161.0,195455.0,10.01573164982475
Kansas,2021,2932099.0,37.0,2007,164800.0,443123.0,315919.0,1467.0,545.0,64521.0,34968.0,95641.0,60964.0,327209.0,11.159548159867725
Ohio,2022,11774683.0,39.6,2006,183300.0,1973077.0,1227237.0,1429.0,548.0,66990.0,37729.0,98947.0,62512.0,1526507.0,12.964315047802137
Indiana,2022,6784403.0,38.0,2008,183600.0,1202896.0,657670.0,1301.0,477.0,67173.0,35578.0,93904.0,61593.0,810702.0,11.949496514284307
Illinois,2022,12757634.0,38.7,2007,239100.0,2054273.0,1258536.0,1903.0,737.0,78433.0,43198.0,113647.0,72814.0,1467893.0,11.505997115139062
Michigan,2022,10057921.0,39.9,2007,201100.0,1713680.0,1192790.0,1472.0,565.0,68505.0,37929.0,98101.0,61033.0,1293164.0,12.857169985725678
Wisconsin,2022,5882128.0,39.9,2007,231400.0,1020853.0,620737.0,1602.0,624.0,72458.0,40130.0,103471.0,67950.0,611661.0,10.398634643788778
Minnesota,2022,5695292.0,38.5,2008,286800.0,1060861.0,570840.0,1818.0,639.0,84313.0,44947.0,116495.0,75262.0,516284.0,9.065101490845421
Iowa,2022,3188836.0,38.4,2008,181600.0,552272.0,370412.0,1444.0,572.0,70571.0,37949.0,99833.0,65580.0,343141.0,10.760697633870164
Mississippi,2022,2958846.0,38.1,2006,151000.0,387280.0,388185.0,1311.0,400.0,52985.0,29209.0,84327.0,48478.0,548804.0,18.547906852874398
North Dakota,2022,776874.0,35.4,2009,232500.0,106287.0,95926.0,1653.0,551.0,73959.0,40748.0,111003.0,76185.0,80810.0,10.40194420201989
South Dakota,2022,890342.0,37.5,2009,219500.0,131828.0,108500.0,1557.0,571.0,69457.0,36850.0,99338.0,68430.0,105542.0,11.854096515720926
Nebraska,2022,1958939.0,36.9,2008,205600.0,304599.0,212052.0,1612.0,616.0,71722.0,38585.0,106751.0,68634.0,198466.0,10.131300668372011
Kansas,2022,2935922.0,37.1,2008,189300.0,445348.0,322527.0,1580.0,592.0,69747.0,38108.0,103083.0,66108.0,329870.0,11.235652718294286
