State,Year,Population,Median Age,Median Year Moved In,Median Home Value,Total Housing with Mortgage,Total Housing without Mortgage,Median Monthly Costs with Mortgage,Median Monthly Costs without Mortgage,Household Income,Per Capita Income,Median Household Income with Mortgage,Median Household Income without Mortgage,Poverty Count,Poverty Rate
Pennsylvania,2020,12794885.0,40.9,2003.0,187500.0,2111469.0,1410800.0,1505.0,542.0,63627.0,35518.0,94647.0,55444.0,1480430.0,11.570483048499458
Rhode Island,2020,1057798.0,40.0,2003.0,276600.0,173461.0,81989.0,1879.0,745.0,70305.0,37504.0,104397.0,70511.0,117785.0,11.134923681080886
Vermont,2020,624340.0,42.8,2003.0,230900.0,116839.0,70535.0,1630.0,686.0,63477.0,35854.0,90698.0,56180.0,64700.0,10.362943268091104
Maryland,2020,6037624.0,38.8,2005.0,325400.0,1084283.0,411545.0,2038.0,633.0,87063.0,43352.0,119648.0,75985.0,531553.0,8.804009656778891
Delaware,2020,967679.0,41.0,2006.0,258300.0,171529.0,93386.0,1591.0,475.0,69110.0,36574.0,94003.0,60450.0,107641.0,11.123626739858985
Connecticut,2021,3605330.0,41.0,2004.0,286700.0,621236.0,304267.0,2192.0,946.0,83572.0,47869.0,122066.0,81092.0,351476.0,9.748788599101886
Maine,2021,1357046.0,44.7,2005.0,212100.0,253596.0,165428.0,1471.0,530.0,63182.0,36171.0,90235.0,54413.0,145992.0,10.75807304984503
Massachusetts,2021,6991852.0,39.6,2005.0,424700.0,1159423.0,534984.0,2365.0,875.0,89026.0,48617.0,132795.0,81261.0,668780.0,9.565133815761548
New Hampshire,2021,1372175.0,43.0,2006.0,288700.0,249294.0,137855.0,2062.0,857.0,83449.0,43877.0,116764.0,71124.0,98429.0,7.173210414123563
New Jersey,2021,9234024.0,40.0,2005.0,355700.0,1422068.0,746080.0,2560.0,1102.0,89703.0,46691.0,132635.0,85725.0,883896.0,9.572164854672245
New York,2021,20114745.0,39.2,2003.0,340600.0,2439126.0,1656510.0,2267.0,826.0,75157.0,43208.0,117482.0,75211.0,2636823.0,13.108905929456228
Pennsylvania,2021,12970650.0,40.8,2004.0,197300.0,2125116.0,1435801.0,1569.0,563.0,67587.0,37725.0,100000.0,59615.0,1482811.0,11.43204850951957
Rhode Island,2021,1091949.0,40.0,2005.0,292600.0,181027.0,84824.0,1952.0,778.0,74489.0,39603.0,108763.0,74247.0,118257.0,10.829901396493792
Vermont,2021,641637.0,42.7,2005.0,240600.0,116172.0,72980.0,1701.0,724.0,67674.0,37903.0,96470.0,60016.0,64962.0,10.124416141837209
Maryland,2021,6148545.0,38.9,2006.0,338500.0,1115878.0,427841.0,2111.0,658.0,91431.0,45915.0,125998.0,80706.0,550074.0,8.946409272437625
Delaware,2021,981892.0,41.1,2007.0,269700.0,176819.0,95616.0,1644.0,489.0,72724.0,38917.0,97991.0,64886.0,109274.0,11.128922529157991
Connecticut,2022,3611317.0,40.9,2006.0,323700.0,618022.0,314566.0,2326.0,1018.0,90213.0,52034.0,131540.0,88765.0,355692.0,9.849370742031232
Maine,2022,1366949.0,44.8,2007.0,244800.0,254699.0,171540.0,1589.0,579.0,68251.0,39718.0,97930.0,59347.0,145491.0,10.643484138764505
Massachusetts,2022,6984205.0,39.8,2006.0,483900.0,1152808.0,558533.0,2553.0,957.0,96505.0,53513.0,143688.0,88886.0,672361.0,9.626879508834577
New Hampshire,2022,1379610.0,43.1,2008.0,337100.0,250376.0,143569.0,2226.0,926.0,90845.0,48250.0,126962.0,77334.0,98162.0,7.11519922296881
New Jersey,2022,9249063.0,40.0,2006.0,401400.0,1421409.0,774422.0,2728.0,1175.0,97126.0,50995.0,143426.0,93185.0,879179.0,9.505600729500925
New York,2022,19994379.0,39.3,2004.0,384100.0,2432174.0,1695945.0,2441.0,894.0,81386.0,47173.0,127503.0,81458.0,2655662.0,13.28204291816215
Pennsylvania,2022,12989208.0,40.8,2005.0,226200.0,2123566.0,1469924.0,1671.0,606.0,73170.0,41234.0,108181.0,65217.0,1482439.0,11.412851345516986
Rhode Island,2022,1094250.0,40.1,2006.0,343100.0,182924.0,88026.0,2110.0,842.0,81370.0,43324.0,118980.0,81349.0,118033.0,10.786657527987206
Vermont,2022,643816.0,42.9,2006.0,272400.0,118114.0,75108.0,1822.0,782.0,74014.0,41680.0,104906.0,65129.0,64739.0,10.055512755197135
Maryland,2022,6161707.0,39.1,2007.0,380500.0,1122350.0,441706.0,2245.0,703.0,98461.0,49865.0,135723.0,88218.0,558567.0,9.065134061064573
Delaware,2022,993635.0,41.4,2008.0,305200.0,180097.0,99826.0,1729.0,523.0,79325.0,42180.0,106744.0,71427.0,107790.0,10.84804782440232
