State,Year,Population,Median Age,Median Year Moved In,Median Home Value,Total Housing with Mortgage,Total Housing without Mortgage,Median Monthly Costs with Mortgage,Median Monthly Costs without Mortgage,Household Income,Per Capita Income,Median Household Income with Mortgage,Median Household Income without Mortgage,Poverty Count,Poverty Rate
Florida,2021,21339762.0,42.3,2010,248700.0,3087300.0,2333331.0,1618.0,540.0,61777.0,35216.0,87788.0,55931.0,2744612.0,12.861493019462916
Georgia,2021,10625615.0,37.1,2007,206700.0,1620298.0,886575.0,1514.0,456.0,65030.0,34516.0,95994.0,58179.0,1441351.0,13.564871303919821
Kentucky,2021,4494141.0,39.0,2006,155100.0,679202.0,506100.0,1241.0,401.0,55454.0,30634.0,85017.0,48367.0,709140.0,15.779211199648609
Louisiana,2021,4657305.0,37.4,2005,174000.0,612388.0,553470.0,1376.0,362.0,53571.0,30340.0,89298.0,49579.0,850486.0,18.261333539461127
Mississippi,2021,2967023.0,37.8,2005,133000.0,381330.0,382785.0,1218.0,371.0,49111.0,26807.0,79124.0,44727.0,557111.0,18.77676715010298
North Carolina,2021,10367022.0,39.0,2007,197500.0,1661183.0,999336.0,1397.0,422.0,60516.0,34209.0,90243.0,52617.0,1379672.0,13.308276957452199
South Carolina,2021,5078903.0,39.8,2008,181800.0,806059.0,583958.0,1329.0,390.0,58234.0,32823.0,85590.0,50703.0,718345.0,14.143703866760204
Tennessee,2021,6859497.0,38.8,2007,193700.0,1050699.0,732575.0,1337.0,406.0,58516.0,32908.0,86333.0,53171.0,955929.0,13.935846899561295
Virginia,2021,8582479.0,38.5,2007,295500.0,1477713.0,687254.0,1891.0,501.0,80615.0,43267.0,114445.0,65980.0,828664.0,9.655298894410345
West Virginia,2021,1801049.0,42.6,2003,128800.0,245665.0,280280.0,1101.0,345.0,50884.0,28761.0,79315.0,46594.0,295632.0,16.414434032610995
Alabama,2022,5028092.0,39.3,2007,179400.0,740157.0,607635.0,1343.0,414.0,59609.0,33344.0,92184.0,54497.0,768897.0,15.292023296312001
Arkansas,2022,3018669.0,38.4,2009,162400.0,415881.0,360075.0,1240.0,406.0,56335.0,31868.0,86985.0,52672.0,475729.0,15.759561581610969
Florida,2022,21634529.0,42.4,2011,292200.0,3166465.0,2419459.0,1752.0,590.0,67917.0,38850.0,96121.0,61487.0,2725633.0,12.598531726759571
Georgia,2022,10722325.0,37.2,2009,245900.0,1647031.0,918846.0,1640.0,493.0,71355.0,37836.0,104715.0,63957.0,1415573.0,13.202108684450433
Kentucky,2022,4502935.0,39.1,2007,177000.0,685954.0,519113.0,1344.0,440.0,60183.0,33515.0,92078.0,52856.0,704758.0,15.65108090612012
Louisiana,2022,4640546.0,37.6,2007,198300.0,619438.0,566195.0,1481.0,396.0,57852.0,32981.0,96292.0,53634.0,842038.0,18.145235495995514
Mississippi,2022,2958846.0,38.1,2006,151000.0,387280.0,388185.0,1311.0,400.0,52985.0,29209.0,84327.0,48478.0,548804.0,18.547906852874398
North Carolina,2022,10470214.0,39.1,2008,234900.0,1690466.0,1027495.0,1496.0,457.0,66186.0,37641.0,98222.0,57723.0,1357418.0,12.964567868431342
South Carolina,2022,5142750.0,40.0,2009,216200.0,830217.0,604445.0,1423.0,421.0,63623.0,36072.0,92428.0,55236.0,717849.0,13.958465801370862
Tennessee,2022,6923772.0,38.9,2008,232100.0,1064620.0,755105.0,1449.0,442.0,64035.0,36040.0,94174.0,58262.0,943583.0,13.628163954561185
Virginia,2022,8624511.0,38.7,2008,339800.0,1489688.0,709611.0,2014.0,546.0,87249.0,47210.0,124028.0,72155.0,836686.0,9.701257265484385
West Virginia,2022,1792967.0,42.6,2004,145800.0,248040.0,282987.0,1180.0,371.0,55217.0,31462.0,86352.0,50263.0,291860.0,16.278046389030028
