State,Year,Population,Median Age,Median Year Moved In,Median Home Value,Total Housing with Mortgage,Total Housing without Mortgage,Median Monthly Costs with Mortgage,Median Monthly Costs without Mortgage,Household Income,Per Capita Income,Median Household Income with Mortgage,Median Household Income without Mortgage,Poverty Count,Poverty Rate
Montana,2021,1077978.0,40.0,2008,263700.0,167834.0,133587.0,1538.0,476.0,60560.0,34423.0,87424.0,54659.0,131512.0,12.199877919586486
Wyoming,2021,576641.0,38.2,2009,237900.0,96903.0,68456.0,1536.0,451.0,68002.0,36288.0,95472.0,61531.0,60482.0,10.488674929462178
Colorado,2021,5723176.0,37.1,2010,397500.0,1042682.0,430767.0,1927.0,524.0,80184.0,42807.0,111311.0,69779.0,535976.0,9.365009917570244
Idaho,2021,1811617.0,36.8,2010,266500.0,301585.0,169451.0,1395.0,411.0,63377.0,31509.0,84542.0,57848.0,202560.0,11.181171296140409
Utah,2021,3231370.0,31.3,2010,339700.0,511505.0,217569.0,1682.0,461.0,79133.0,33378.0,102978.0,73085.0,278486.0,8.618202186688618
Nevada,2021,3059238.0,38.3,2011,315900.0,445071.0,214600.0,1655.0,454.0,65686.0,34621.0,93669.0,63648.0,388814.0,12.709504785178531
Washington,2021,7617364.0,37.9,2009,397600.0,1266019.0,598878.0,2064.0,646.0,82400.0,43817.0,115096.0,71292.0,746904.0,9.805281722128548
Oregon,2021,4207177.0,39.6,2009,362200.0,692232.0,354933.0,1840.0,587.0,70084.0,37816.0,101875.0,60850.0,498517.0,11.849204347713442
California,2021,39455353.0,37.0,2006,573200.0,5075316.0,2259931.0,2548.0,664.0,84097.0,41276.0,124759.0,75208.0,4741175.0,12.016557043603184
Alaska,2021,735951.0,35.0,2008,282800.0,105565.0,65642.0,1986.0,617.0,80287.0,39236.0,113259.0,71982.0,75016.0,10.19306991905711
Hawaii,2021,1453498.0,39.6,2003,662100.0,188593.0,103221.0,2587.0,574.0,88005.0,39045.0,122258.0,79800.0,133740.0,9.201251050913038
Montana,2022,1091840.0,40.1,2009,305700.0,168923.0,137509.0,1660.0,519.0,66341.0,37837.0,95149.0,60133.0,132329.0,12.119816090269637
Wyoming,2022,577929.0,38.5,2010,269900.0,97687.0,70706.0,1642.0,489.0,72495.0,39547.0,102866.0,65959.0,60134.0,10.405084361573827
Colorado,2022,5770790.0,37.3,2011,465900.0,1057739.0,449808.0,2109.0,578.0,87598.0,47346.0,121231.0,76863.0,540105.0,9.359290495755348
Idaho,2022,1854109.0,36.9,2011,331600.0,309472.0,176807.0,1520.0,449.0,70214.0,34919.0,93096.0,64078.0,198788.0,10.721484011997138
Utah,2022,3283809.0,31.4,2011,408500.0,523663.0,227989.0,1830.0,501.0,86833.0,37023.0,113097.0,80347.0,275188.0,8.38014634834121
Nevada,2022,3104817.0,38.5,2012,373800.0,454707.0,225253.0,1791.0,491.0,71646.0,37945.0,101618.0,69966.0,389456.0,12.543605629574948
Washington,2022,7688549.0,38.0,2010,473400.0,1277064.0,623188.0,2249.0,703.0,90325.0,48685.0,126200.0,78097.0,747538.0,9.722744824803744
Oregon,2022,4229374.0,39.9,2010,423100.0,697213.0,365309.0,1984.0,634.0,76632.0,41805.0,111489.0,67650.0,494158.0,11.683951336533491
California,2022,39356104.0,37.3,2007,659300.0,5067173.0,2340188.0,2759.0,732.0,91905.0,45591.0,136094.0,82851.0,4685272.0,11.90481659465073
Alaska,2022,734821.0,35.3,2009,318000.0,106808.0,68390.0,2130.0,652.0,86370.0,42828.0,120033.0,78358.0,75227.0,10.23745919074169
Hawaii,2022,1450589.0,39.9,2005,764800.0,191577.0,107239.0,2778.0,630.0,94814.0,42683.0,130811.0,87242.0,135941.0,9.371434637929834
